# Ag optical constants from refractiveindex.info database
# Dataset: Johnson 1972 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of the noble metals. Phys. Rev. B 6, 4370-4379 (1972)
# Comments: Room temperature
wavelength_nm,eta
187.9,1.07
191.6,1.1
195.3,1.12
199.3,1.14
203.3,1.15
207.3,1.18
211.9,1.2
216.4,1.22
221.4,1.25
226.2,1.26
231.3,1.28
237.1,1.28
242.6,1.3
249,1.31
255.1,1.33
261.6,1.35
268.9,1.38
276.1,1.41
284.4,1.41
292.4,1.39
300.9,1.34
310.7,1.13
320.4,0.81
331.5,0.17
342.5,0.14
354.2,0.1
367.9,0.07
381.5,0.05
397.4,0.05
413.3,0.05
430.5,0.04
450.9,0.04
471.4,0.05
495.9,0.05
520.9,0.05
548.6,0.06
582.1,0.05
616.8,0.06
659.5,0.05
704.5,0.04
756,0.03
821.1,0.04
892,0.04
984,0.04
1088,0.04
1216,0.09
1393,0.13
1610,0.15
1937,0.24
