# Ag optical constants from refractiveindex.info database
# Dataset: Johnson 1972 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of the noble metals. Phys. Rev. B 6, 4370-4379 (1972)
# Comments: Room temperature
wavelength_nm,k
187.9,1.212
191.6,1.232
195.3,1.255
199.3,1.277
203.3,1.296
207.3,1.312
211.9,1.325
216.4,1.336
221.4,1.342
226.2,1.344
231.3,1.357
237.1,1.367
242.6,1.378
249,1.389
255.1,1.393
261.6,1.387
268.9,1.372
276.1,1.331
284.4,1.264
292.4,1.161
300.9,0.964
310.7,0.616
320.4,0.392
331.5,0.829
342.5,1.142
354.2,1.419
367.9,1.657
381.5,1.864
397.4,2.07
413.3,2.275
430.5,2.462
450.9,2.657
471.4,2.869
495.9,3.093
520.9,3.324
548.6,3.586
582.1,3.858
616.8,4.152
659.5,4.483
704.5,4.838
756,5.242
821.1,5.727
892,6.312
984,6.992
1088,7.795
1216,8.828
1393,10.1
1610,11.85
1937,14.08
