# Al optical constants from refractiveindex.info database
# Dataset: McPeak 2015 (see refractiveindex.info)
# Reference: K. M. McPeak, S. V. Jayanti, S. J. P. Kress, S. Meyer, S. Iotti, A. Rossinelli, D. J. Norris. Plasmonic films can easily be better: Rules and recipes. ACS Photonics 2, 326-333 (2015)
# Comments: Thermally evaporated Al at 150 Å/s, template stripped from Si wafer
wavelength_nm,eta
150,0.0953908
155,0.0955104
160,0.0990392
165,0.0986928
170,0.10085
175,0.106956
180,0.0997157
185,0.108316
190,0.106568
195,0.111513
200,0.110803
205,0.111587
210,0.113656
215,0.115928
220,0.116173
225,0.119772
230,0.124316
235,0.129277
240,0.133003
245,0.139689
250,0.141163
255,0.148766
260,0.150723
265,0.161465
270,0.164611
275,0.172366
280,0.178635
285,0.18587
290,0.188953
295,0.197315
300,0.204992
305,0.210097
310,0.218817
315,0.224455
320,0.237666
325,0.244649
330,0.251893
335,0.259392
340,0.267482
345,0.275201
350,0.283498
355,0.291774
360,0.300126
365,0.308578
370,0.317598
375,0.326926
380,0.335956
385,0.345714
390,0.354902
395,0.364968
400,0.375151
405,0.385212
410,0.396086
415,0.407065
420,0.417648
425,0.429544
430,0.440996
435,0.452838
440,0.464233
445,0.47707
450,0.48922
455,0.501228
460,0.514817
465,0.528042
470,0.539877
475,0.554933
480,0.568005
485,0.582771
490,0.596705
495,0.610784
500,0.625686
505,0.640306
510,0.65571
515,0.672566
520,0.688336
525,0.704045
530,0.720794
535,0.737604
540,0.754468
545,0.77233
550,0.789405
555,0.808352
560,0.829205
565,0.848631
570,0.867377
575,0.887662
580,0.90857
585,0.928309
590,0.948956
595,0.97149
600,0.992466
605,1.01607
610,1.03815
615,1.06206
620,1.08816
625,1.11266
630,1.13633
635,1.16573
640,1.19027
645,1.21851
650,1.24636
655,1.2753
660,1.30438
665,1.33385
670,1.36541
675,1.39589
680,1.42602
685,1.45739
690,1.49323
695,1.52749
700,1.55975
705,1.59635
710,1.63162
715,1.6697
720,1.70678
725,1.74526
730,1.7864
735,1.82777
740,1.87219
745,1.9168
750,1.95836
755,2.00535
760,2.05422
765,2.09984
770,2.14453
775,2.18992
780,2.2315
785,2.27548
790,2.31464
795,2.35026
800,2.37365
805,2.39944
810,2.4093
815,2.4144
820,2.41005
825,2.39946
830,2.37528
835,2.3421
840,2.30177
845,2.25766
850,2.2049
855,2.14811
860,2.09272
865,2.03128
870,1.97357
875,1.91549
880,1.855
885,1.80256
890,1.75012
895,1.69467
900,1.64716
905,1.6024
910,1.55719
915,1.51684
920,1.48355
925,1.44723
930,1.41521
935,1.38543
940,1.35559
945,1.32588
950,1.30216
955,1.28029
960,1.25977
965,1.23822
970,1.21819
975,1.20107
980,1.18229
985,1.16763
990,1.1537
995,1.14091
1000,1.12664
1005,1.11468
1010,1.10296
1015,1.09358
1020,1.08728
1025,1.08145
1030,1.0714
1035,1.06154
1040,1.05549
1045,1.05181
1050,1.04345
1055,1.03648
1060,1.03313
1065,1.02748
1070,1.02559
1075,1.02442
1080,1.02024
1085,1.0153
1090,1.01438
1095,1.01189
1100,1.00991
1105,1.00845
1110,1.00534
1115,1.00382
1120,1.00429
1125,1.00388
1130,1.00397
1135,1.00501
1140,1.00283
1145,1.00394
1150,1.00532
1155,1.00375
1160,1.00882
1165,1.00793
1170,1.00836
1175,1.01269
1180,1.01521
1185,1.01476
1190,1.01768
1195,1.01814
1200,1.02174
1205,1.02286
1210,1.02426
1215,1.02645
1220,1.02974
1225,1.03505
1230,1.03867
1235,1.03998
1240,1.04339
1245,1.04666
1250,1.04991
1255,1.0513
1260,1.0565
1265,1.05719
1270,1.06149
1275,1.06638
1280,1.0705
1285,1.07308
1290,1.07809
1295,1.08126
1300,1.08668
1305,1.09091
1310,1.09423
1315,1.09711
1320,1.10443
1325,1.10814
1330,1.10928
1335,1.11249
1340,1.12399
1345,1.12923
1350,1.13298
1355,1.13557
1430,1.20898
1435,1.21577
1440,1.22236
1445,1.22564
1450,1.23235
1455,1.23505
1460,1.23989
1465,1.24567
1470,1.2559
1475,1.25242
1480,1.26515
1485,1.26479
1490,1.27502
1495,1.27769
1500,1.2857
1505,1.29015
1510,1.29681
1515,1.30406
1520,1.31392
1525,1.31628
1530,1.32529
1535,1.33257
1540,1.3381
1545,1.34232
1550,1.3474
1555,1.35429
1560,1.36163
1565,1.36795
1570,1.37488
1575,1.37495
1580,1.38566
1585,1.39043
1590,1.40017
1595,1.39786
1600,1.40098
1605,1.40293
1610,1.42141
1615,1.42474
1620,1.436
1625,1.43936
1630,1.44609
1635,1.4479
1640,1.45644
1645,1.45887
1650,1.46992
1655,1.47818
1660,1.47498
1665,1.47784
1670,1.46229
1675,1.42578
1680,1.42734
1685,1.45491
1690,1.51418
1695,1.55567
1700,1.58402
