# Al optical constants from refractiveindex.info database
# Dataset: McPeak 2015 (see refractiveindex.info)
# Reference: K. M. McPeak, S. V. Jayanti, S. J. P. Kress, S. Meyer, S. Iotti, A. Rossinelli, D. J. Norris. Plasmonic films can easily be better: Rules and recipes. ACS Photonics 2, 326-333 (2015)
# Comments: Thermally evaporated Al at 150 Å/s, template stripped from Si wafer
wavelength_nm,k
150,1.28367
155,1.33739
160,1.40293
165,1.46617
170,1.53257
175,1.59654
180,1.65766
185,1.73437
190,1.79116
195,1.85341
200,1.90861
205,1.96994
210,2.02806
215,2.09185
220,2.152
225,2.21304
230,2.2749
235,2.33677
240,2.39551
245,2.45736
250,2.51522
255,2.57378
260,2.63321
265,2.69343
270,2.75004
275,2.811
280,2.86897
285,2.92328
290,2.98248
295,3.04234
300,3.10086
305,3.15735
310,3.21479
315,3.26747
320,3.32378
325,3.37933
330,3.43678
335,3.49375
340,3.55015
345,3.60718
350,3.66352
355,3.71983
360,3.77625
365,3.83161
370,3.8892
375,3.946
380,4.00261
385,4.05827
390,4.11424
395,4.16968
400,4.22643
405,4.28128
410,4.33681
415,4.39144
420,4.44741
425,4.5035
430,4.55911
435,4.61368
440,4.6691
445,4.72404
450,4.77832
455,4.83283
460,4.88795
465,4.94326
470,4.99735
475,5.05133
480,5.10594
485,5.15923
490,5.21287
495,5.26593
500,5.32048
505,5.37485
510,5.42816
515,5.48155
520,5.53596
525,5.58799
530,5.64177
535,5.69377
540,5.7465
545,5.79901
550,5.85194
555,5.90529
560,5.95824
565,6.00909
570,6.06023
575,6.11269
580,6.16518
585,6.21561
590,6.26742
595,6.3171
600,6.36899
605,6.41735
610,6.46682
615,6.51705
620,6.56659
625,6.61476
630,6.66313
635,6.71081
640,6.75942
645,6.80711
650,6.85233
655,6.89836
660,6.94236
665,6.98764
670,7.03195
675,7.0711
680,7.11629
685,7.15765
690,7.19748
695,7.23604
700,7.27391
705,7.31138
710,7.34576
715,7.38037
720,7.41425
725,7.44674
730,7.47537
735,7.50285
740,7.52835
745,7.55216
750,7.5714
755,7.58521
760,7.59946
765,7.60509
770,7.61216
775,7.61057
780,7.60385
785,7.58939
790,7.57222
795,7.54789
800,7.52258
805,7.48654
810,7.44948
815,7.41076
820,7.36935
825,7.3256
830,7.28841
835,7.2531
840,7.22573
845,7.20437
850,7.18809
855,7.1777
860,7.18133
865,7.18464
870,7.19889
875,7.21825
880,7.24341
885,7.27408
890,7.30978
895,7.3501
900,7.39305
905,7.43947
910,7.48978
915,7.54267
920,7.59262
925,7.64771
930,7.70343
935,7.75606
940,7.81247
945,7.8721
950,7.92872
955,7.98531
960,8.04593
965,8.10519
970,8.16376
975,8.22269
980,8.27924
985,8.33825
990,8.39952
995,8.45776
1000,8.5116
1005,8.57196
1010,8.62992
1015,8.68752
1020,8.74844
1025,8.80997
1030,8.86786
1035,8.92008
1040,8.97826
1045,9.03683
1050,9.08377
1055,9.14873
1060,9.20404
1065,9.26443
1070,9.31852
1075,9.37312
1080,9.42862
1085,9.47992
1090,9.53687
1095,9.59343
1100,9.64992
1105,9.70448
1110,9.75088
1115,9.806
1120,9.86015
1125,9.9175
1130,9.9684
1135,10.0238
1140,10.075
1145,10.1271
1150,10.1834
1155,10.2371
1160,10.2863
1165,10.3415
1170,10.3922
1175,10.442
1180,10.4934
1185,10.5518
1190,10.6055
1195,10.6582
1200,10.7058
1205,10.7581
1210,10.8078
1215,10.8593
1220,10.911
1225,10.9618
1230,11.0127
1235,11.0685
1240,11.1157
1245,11.1698
1250,11.2162
1255,11.2666
1260,11.3162
1265,11.3608
1270,11.4108
1275,11.4729
1280,11.5194
1285,11.5625
1290,11.6178
1295,11.6683
1300,11.7197
1305,11.7737
1310,11.8202
1315,11.8644
1320,11.9193
1325,11.9674
1330,12.0154
1335,12.0639
1340,12.1162
1345,12.1653
1350,12.2178
1355,12.267
1430,12.992
1435,13.0402
1440,13.0898
1445,13.1344
1450,13.1935
1455,13.2342
1460,13.2826
1465,13.3297
1470,13.3752
1475,13.4212
1480,13.4652
1485,13.5196
1490,13.5652
1495,13.6152
1500,13.6603
1505,13.7096
1510,13.7576
1515,13.8138
1520,13.8577
1525,13.9055
1530,13.9498
1535,13.9956
1540,14.0464
1545,14.0891
1550,14.1328
1555,14.1861
1560,14.23
1565,14.272
1570,14.3321
1575,14.3733
1580,14.4187
1585,14.4715
1590,14.5197
1595,14.5665
1600,14.6087
1605,14.6529
1610,14.7065
1615,14.7564
1620,14.821
1625,14.8486
1630,14.8957
1635,14.9471
1640,14.9917
1645,15.0239
1650,15.0818
1655,15.1223
1660,15.1758
1665,15.2323
1670,15.2774
1675,15.3474
1680,15.3895
1685,15.4725
1690,15.4962
1695,15.5335
1700,15.5563
