# Cu optical constants from refractiveindex.info database
# Dataset: Johnson 1972 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of the noble metals. Phys. Rev. B 6, 4370-4379 (1972)
# Comments: Room temperature
wavelength_nm,eta
187.9,0.94
191.6,0.95
195.3,0.97
199.3,0.98
203.3,0.99
207.3,1.01
211.9,1.04
216.4,1.08
221.4,1.13
226.2,1.18
231.3,1.23
237.1,1.28
242.6,1.34
249,1.37
255.1,1.41
261.6,1.41
268.9,1.45
276.1,1.46
284.4,1.45
292.4,1.42
300.9,1.4
310.7,1.38
320.4,1.38
331.5,1.34
342.5,1.36
354.2,1.37
367.9,1.36
381.5,1.33
397.4,1.32
413.3,1.28
430.5,1.25
450.9,1.24
471.4,1.25
495.9,1.22
520.9,1.18
548.6,1.02
582.1,0.7
616.8,0.3
659.5,0.22
704.5,0.21
756,0.24
821.1,0.26
892,0.3
984,0.32
1088,0.36
1216,0.48
1393,0.6
1610,0.76
1937,1.09
