# Copper (Cu) optical constants from refractiveindex.info database
# Dataset: Johnson & Christy 1972 (see refractiveindex.info)
# Columns: wavelength_nm, value
wavelength_nm,k
187.9,1.337000
191.6,1.388000
195.3,1.440000
199.3,1.493000
203.3,1.550000
207.3,1.599000
211.9,1.651000
216.4,1.699000
221.4,1.737000
226.2,1.768000
231.3,1.792000
237.1,1.802000
242.6,1.799000
249.0,1.783000
255.1,1.741000
261.6,1.691000
268.9,1.668000
276.1,1.646000
284.4,1.633000
292.4,1.633000
300.9,1.679000
310.7,1.729000
320.4,1.783000
331.5,1.821000
342.5,1.864000
354.2,1.916000
367.9,1.975000
381.5,2.045000
397.4,2.116000
413.3,2.207000
430.5,2.305000
450.9,2.397000
471.4,2.483000
495.9,2.564000
520.9,2.608000
548.6,2.577000
582.1,2.704000
616.8,3.205000
659.5,3.747000
704.5,4.205000
756.0,4.665000
821.1,5.180000
892.0,5.768000
984.0,6.421000
1088.0,7.217000
1216.0,8.245000
1393.0,9.439000
1610.0,11.120000
1937.0,13.430000
