# Ni optical constants from refractiveindex.info database
# Dataset: Johnson 1974 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of transition metals: Ti, V, Cr, Mn, Fe, Co, Ni, and Pd. Phys. Rev. B 9, 5056-5070 (1974)
# Comments: Room temperature
wavelength_nm,eta
188,1.26
192,1.29
195,1.29
199,1.28
203,1.28
207,1.29
212,1.32
216,1.34
221,1.38
226,1.43
231,1.49
237,1.57
243,1.65
249,1.73
255,1.82
262,1.89
269,1.96
276,2.01
284,2.03
292,2.03
301,2.02
311,2.01
320,1.93
332,1.84
342,1.78
354,1.74
368,1.7
381,1.72
397,1.72
413,1.7
431,1.71
451,1.73
471,1.78
496,1.82
521,1.85
549,1.92
582,1.96
617,1.99
659,1.99
704,2.06
756,2.13
821,2.26
892,2.4
984,2.48
1088,2.65
1216,2.79
1393,2.96
1610,3.14
1937,3.47
