# Ni optical constants from refractiveindex.info database
# Dataset: Johnson 1974 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of transition metals: Ti, V, Cr, Mn, Fe, Co, Ni, and Pd. Phys. Rev. B 9, 5056-5070 (1974)
# Comments: Room temperature
wavelength_nm,k
188,1.6
192,1.64
195,1.69
199,1.75
203,1.82
207,1.89
212,1.96
216,2.02
221,2.09
226,2.15
231,2.2
237,2.25
243,2.29
249,2.31
255,2.32
262,2.3
269,2.29
276,2.26
284,2.23
292,2.2
301,2.18
311,2.18
320,2.19
332,2.22
342,2.26
354,2.32
368,2.4
381,2.48
397,2.57
413,2.69
431,2.82
451,2.95
471,3.09
496,3.25
521,3.42
549,3.61
582,3.8
617,4.02
659,4.26
704,4.5
756,4.73
821,4.97
892,5.23
984,5.55
1088,5.93
1216,6.43
1393,7.08
1610,7.96
1937,9.09
