# Ti optical constants from refractiveindex.info database
# Dataset: Johnson 1974 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of transition metals: Ti, V, Cr, Mn, Fe, Co, Ni, and Pd. Phys. Rev. B 9, 5056-5070 (1974)
# Comments: Room temperature
wavelength_nm,eta
188,1.1
192,1.16
195,1.22
199,1.25
203,1.27
207,1.31
212,1.31
216,1.32
221,1.32
226,1.32
231,1.31
237,1.3
243,1.28
249,1.27
255,1.26
262,1.27
269,1.27
276,1.3
284,1.35
292,1.4
301,1.45
311,1.5
320,1.55
332,1.61
342,1.72
354,1.82
368,1.9
381,1.99
397,2.08
413,2.14
431,2.21
451,2.27
471,2.32
496,2.36
521,2.44
549,2.54
582,2.6
617,2.67
659,2.76
704,2.86
756,3
821,3.21
892,3.29
984,3.35
1088,3.5
1216,3.62
1393,3.67
1610,3.69
1937,3.51
