# Ti optical constants from refractiveindex.info database
# Dataset: Johnson 1974 (see refractiveindex.info)
# Reference: P. B. Johnson and R. W. Christy. Optical constants of transition metals: Ti, V, Cr, Mn, Fe, Co, Ni, and Pd. Phys. Rev. B 9, 5056-5070 (1974)
# Comments: Room temperature
wavelength_nm,k
188,1.62
192,1.64
195,1.66
199,1.68
203,1.69
207,1.69
212,1.68
216,1.67
221,1.66
226,1.66
231,1.68
237,1.72
243,1.77
249,1.83
255,1.91
262,1.99
269,2.07
276,2.17
284,2.26
292,2.36
301,2.46
311,2.57
320,2.66
332,2.74
342,2.82
354,2.87
368,2.9
381,2.93
397,2.95
413,2.98
431,3.01
451,3.04
471,3.1
496,3.19
521,3.3
549,3.43
582,3.58
617,3.72
659,3.84
704,3.96
756,4.01
821,4.01
892,3.96
984,3.97
1088,4.02
1216,4.15
1393,4.37
1610,4.7
1937,5.19
